Opis,Kategoria
Przechylony znak drogowy grożący upadkiem,Infrastruktura drogowa i chodniki
Zielony zakwit sinic w jeziorze kąpielowym,Zagrożenia biologiczne
Samochód który wpadł do rzeki z mostu,Wypadki drogowe
Potrzebne dodatkowe kursy autobusów w godzinach szczytu,Pozostałe (inne)
Mgła znacznie ograniczająca widoczność na drodze,Zagrożenia dla pieszych i uczestników ruchu
Rozkładająca się padlina w worku foliowym w lesie,Zagrożenia biologiczne
Opieranie się o starą kruchą barierkę na punkcie widokowym,Niebezpieczne sytuacje
Niezabezpieczona studnia na terenie opuszczonej posesji,Niebezpieczne sytuacje
Wtargnięcie pieszego na jezdnię zza zaparkowanego pojazdu,Zachowania uczestników ruchu (kierowcy i piesi)
Wniosek o instalację monitoringu na osiedlu,Pozostałe (inne)
Uszkodzona rynna przy budynku poczty głównej,Wandalizm
Złamana pokrywa studzienki kanalizacyjnej,Infrastruktura drogowa i chodniki
Zatarte linie wyznaczające miejsca parkingowe,Infrastruktura drogowa i chodniki
"Niezatrzymanie się przed znakiem ""STOP""",Zachowania uczestników ruchu (kierowcy i piesi)
Spożywanie alkoholu podczas kierowania rowerem,Zachowania uczestników ruchu (kierowcy i piesi)
Zagrożenie wścieklizną u dzikich zwierząt,Zagrożenia biologiczne
Wyprzedzanie na przejściu dla pieszych tuż przed maską,Zachowania uczestników ruchu (kierowcy i piesi)
Parkowanie na miejscu dla osób niepełnosprawnych bez uprawnień,Zachowania uczestników ruchu (kierowcy i piesi)
Wadliwie działający czujnik czadu w mieszkaniu z piecykiem gazowym,Niebezpieczne sytuacje
Niedostateczna liczba patroli straży miejskiej,Pozostałe (inne)
Skakanie do wody w miejscu niedozwolonym i niebezpiecznym,Niebezpieczne sytuacje
Niedrożny system odpływu wody powodujący zalewanie ulicy,Infrastruktura drogowa i chodniki
Stare części samochodowe porzucone w zaroślach,Zaśmiecanie i nielegalne wysypiska
Porzucone odpady medyczne jak strzykawki i bandaże w parku,Zagrożenia biologiczne
Brak pokrywy od szamba na prywatnej posesji tuż przy chodniku,Niebezpieczne sytuacje
Zgłoszenie podejrzenia nielegalnego poboru prądu,Pozostałe (inne)
Kierowcy quadów rozjeżdżający leśne ścieżki i płoszący zwierzynę,Zachowania uczestników ruchu (kierowcy i piesi)
Kierowca nie ustąpił pierwszeństwa pieszemu na pasach,Zachowania uczestników ruchu (kierowcy i piesi)
Osoba w kryzysie psychicznym na dachu wieżowca,Niebezpieczne sytuacje
System informacji pasażerskiej na przystankach nie działa,Pozostałe (inne)
Zaśmiecanie terenu wokół ogródków działkowych,Zaśmiecanie i nielegalne wysypiska
Nieszczelne kontenery z których wyciekają płyny,Zaśmiecanie i nielegalne wysypiska
Krew na chodniku po bójce lub wypadku,Zagrożenia biologiczne
Jazda rowerem po zmroku bez oświetlenia,Zachowania uczestników ruchu (kierowcy i piesi)
Jazda pod prąd na ulicy jednokierunkowej,Zachowania uczestników ruchu (kierowcy i piesi)
Zdewastowany parkometr nie przyjmuje opłat,Wandalizm
Długotrwały brak ciepłej wody w budynku,Pozostałe (inne)
Larwy owadów w żywności sprzedawanej w sklepie,Zagrożenia biologiczne
Dziecko zatrzaśnięte w rozgrzanym samochodzie,Niebezpieczne sytuacje
Kierowca zasnął za kierownicą i spowodował wypadek,Wypadki drogowe
Zalanie klejem zamków w drzwiach,Wandalizm
Chodzenie po ścieżce rowerowej,Zachowania uczestników ruchu (kierowcy i piesi)
Obecność pleśni w systemie klimatyzacji budynku publicznego,Zagrożenia biologiczne
Potrącenie rolkarza na przejeździe dla rowerów,Wypadki drogowe
Wyrzucanie gorącego popiołu z pieca do zwykłych kontenerów,Zaśmiecanie i nielegalne wysypiska
Potrącenie rolkarza na przejściu dla pieszych,Wypadki drogowe
Wypadek spowodowany oślepieniem przez słońce,Wypadki drogowe
Zaśmiecanie przystanków komunikacji miejskiej,Zaśmiecanie i nielegalne wysypiska
Zbyt rzadko kursująca komunikacja miejska,Pozostałe (inne)
Brak progów zwalniających w strefie ograniczonej prędkości,Zagrożenia dla pieszych i uczestników ruchu
Zerwane siatki na boisku sportowym Orlik,Wandalizm
Kąpiel w niestrzeżonym zbiorniku wodnym z wirami,Niebezpieczne sytuacje
Niedziałająca sygnalizacja świetlna na skrzyżowaniu Wielickiej i Powstańców Śląskich,Infrastruktura drogowa i chodniki
Wylewanie resztek farb i rozpuszczalników na ziemię,Zaśmiecanie i nielegalne wysypiska
Podejrzenie występowania pałeczek Legionelli w instalacji wodnej,Zagrożenia biologiczne
Brak reakcji na zgłoszenia o awarii,Pozostałe (inne)
Chore lisy podchodzące blisko domów,Zagrożenia biologiczne
Zniszczona i nieczytelna tablica informacyjna,Infrastruktura drogowa i chodniki
Przewrócone przenośne toalety,Wandalizm
Wymuszanie pierwszeństwa na rondzie turbinowym,Zachowania uczestników ruchu (kierowcy i piesi)
Cofanie na drodze ekspresowej lub autostradzie,Zachowania uczestników ruchu (kierowcy i piesi)
Jazda na zderzaku w celu zmuszenia do zjechania z pasa,Zachowania uczestników ruchu (kierowcy i piesi)
Oślepiące światła LED w samochodach jadących z naprzeciwka,Zagrożenia dla pieszych i uczestników ruchu
Obecność trujących grzybów w miejscach publicznych,Zagrożenia biologiczne
Problem z gołębiami zanieczyszczającymi balkony,Pozostałe (inne)
Zniszczona wiata przystankowa,Wandalizm
Chmary meszek nad terenami zalewowymi,Zagrożenia biologiczne
Zbyt wysokie krawężniki na przejściach dla pieszych,Infrastruktura drogowa i chodniki
Niekontrolowany wyciek wody zalewający instalację elektryczną,Niebezpieczne sytuacje
Niezatrzymywanie się przed znakiem Stop,Zachowania uczestników ruchu (kierowcy i piesi)
Nieregularny odbiór śmieci i kontenery są stale przepełnione,Zaśmiecanie i nielegalne wysypiska
Rzucanie niedopałków z balkonu,Zachowania uczestników ruchu (kierowcy i piesi)
Gniazdo os w elewacji budynku mieszkalnego,Zagrożenia biologiczne
Wandalizm na cmentarzu niszczenie nagrobków,Wandalizm
Niewidoczne oznakowanie poziome na jezdni (np. linie),Zagrożenia dla pieszych i uczestników ruchu
Wykruszony beton na schodach w przejściu podziemnym,Infrastruktura drogowa i chodniki
Potrącenie pieszego przechodzącego w niedozwolonym miejscu,Wypadki drogowe
Zgromadzenie podejrzanych osób w bramie w godzinach wieczornych,Niebezpieczne sytuacje
Niestabilny billboard reklamowy grożący przewróceniem,Niebezpieczne sytuacje
Próba podpalenia drewnianej altany w parku,Wandalizm
Celowe niszczenie tablic ogłoszeniowych,Wandalizm
Odpady budowlane wysypane na brzeg rzeki,Zaśmiecanie i nielegalne wysypiska
Śmieci pozostawione przez wędkarzy na brzegu jeziora,Zaśmiecanie i nielegalne wysypiska
Pęknięta szyba w drzwiach wejściowych do sklepu,Niebezpieczne sytuacje
Uszkodzona nawierzchnia na przystanku autobusowym,Infrastruktura drogowa i chodniki
Zatarte pasy na przejściu dla pieszych przy szkole podstawowej nr 5,Infrastruktura drogowa i chodniki
Starte niewidoczne oznakowanie poziome (linie strzałki),Infrastruktura drogowa i chodniki
Zarośnięta zatoka autobusowa utrudnia zatrzymanie się autobusu,Infrastruktura drogowa i chodniki
Problem z niskim ciśnieniem wody w mieszkaniu,Pozostałe (inne)
Prośba o zamontowanie lustra drogowego na niebezpiecznym wyjeździe,Pozostałe (inne)
Zamalowane czujniki parkowania w strefie płatnej,Wandalizm
Zły stan techniczny mostu lub wiaduktu,Infrastruktura drogowa i chodniki
Brakujący właz studzienki telekomunikacyjnej na chodniku,Infrastruktura drogowa i chodniki
Kruszejący beton na wiadukcie,Infrastruktura drogowa i chodniki
Parkowanie na trawniku i niszczenie zieleni,Zachowania uczestników ruchu (kierowcy i piesi)
Jazda ze zbyt dużą prędkością przy złej pogodzie,Zachowania uczestników ruchu (kierowcy i piesi)
Niszczenie mienia na terenie ogródków działkowych,Wandalizm
Samochód zjechał z drogi i uderzył w drzewo,Wypadki drogowe
Zderzenie samochodu z pociągiem na niestrzeżonym przejeździe,Wypadki drogowe
Zarośla ograniczające widoczność na wyjeździe z parkingu,Zagrożenia dla pieszych i uczestników ruchu
Zła koordynacja świateł na skrzyżowaniu,Zagrożenia dla pieszych i uczestników ruchu
Gnijące owoce i warzywa na dzikim targowisku,Zagrożenia biologiczne
Podpalenie altany śmietnikowej,Wandalizm
Częste awarie prądu w okolicy,Pozostałe (inne)
Wyrzucanie niedopałków papierosów na ulicę,Zaśmiecanie i nielegalne wysypiska
Plaga gryzoni w zsypie na śmieci w wieżowcu,Zagrożenia biologiczne
Otwarta studzienka kanalizacyjna bez żadnego zabezpieczenia na trawniku,Niebezpieczne sytuacje
Nielegalne składowisko odpadów zwierzęcych,Zagrożenia biologiczne
Jazda z nieodśnieżonym dachem samochodu,Zachowania uczestników ruchu (kierowcy i piesi)
Nieprawidłowe parkowanie blokujące rampę dla wózków,Zachowania uczestników ruchu (kierowcy i piesi)
Nieustępowanie miejsca w komunikacji miejskiej osobom starszym,Zachowania uczestników ruchu (kierowcy i piesi)
Karambol z udziałem 4 aut na autostradzie A4 w kierunku Katowic,Wypadki drogowe
Zderzenie czołowe na drodze dwukierunkowej,Wypadki drogowe
Zaniedbana posesja z której śmieci roznosi wiatr,Zaśmiecanie i nielegalne wysypiska
Niesprzątnięte odchody gołębi na parapecie budynku publicznego,Zaśmiecanie i nielegalne wysypiska
Tarasowanie wyjazdu z garażu lub posesji,Zachowania uczestników ruchu (kierowcy i piesi)
Luźna balustrada na balkonie na 4 piętrze,Niebezpieczne sytuacje
Nielegalne wylewanie szamba do rowu melioracyjnego,Zagrożenia biologiczne
Potrącenie osoby na hulajnodze przez samochód,Wypadki drogowe
Zderzenie boczne na skrzyżowaniu,Wypadki drogowe
Brak segregacji śmieci mimo posiadania odpowiednich pojemników,Zaśmiecanie i nielegalne wysypiska
Rozkładające się zwierzę w studzience kanalizacyjnej,Zagrożenia biologiczne
Kolizja drogowa z ucieczką sprawcy z miejsca zdarzenia,Wypadki drogowe
Parkowanie w sposób utrudniający widoczność innym kierowcom,Zachowania uczestników ruchu (kierowcy i piesi)
Połamane młode drzewka posadzone wzdłuż ulicy,Wandalizm
Zagrzybiona i wilgotna piwnica w bloku,Zagrożenia biologiczne
Niestabilne rusztowanie na budynku przy ruchliwym chodniku,Niebezpieczne sytuacje
Brak lustra na wyjeździe z drogi podporządkowanej,Zagrożenia dla pieszych i uczestników ruchu
Zniszczony publiczny defibrylator AED przy urzędzie,Wandalizm
Rozbita witryna sklepowa,Wandalizm
Kolizja tramwaju z samochodem na ulicy Basztowej,Wypadki drogowe
Ścieżka rowerowa jest jednocześnie drogą dojazdową dla mieszkańców,Zagrożenia dla pieszych i uczestników ruchu
Uszkodzenie słupka parkingowego,Wandalizm
Konflikt ruchu pieszego i rowerowego na wąskim bulwarze,Zagrożenia dla pieszych i uczestników ruchu
Koleiny na prawym pasie Alei Trzech Wieszczów,Infrastruktura drogowa i chodniki
Niedziałające oświetlenie na całej ulicy od tygodnia,Pozostałe (inne)
Wyrzucanie śmieci do pojemników przeznaczonych na inny rodzaj odpadów,Zaśmiecanie i nielegalne wysypiska
Systematyczne podrzucanie śmieci do koszy na cmentarzu,Zaśmiecanie i nielegalne wysypiska
Sugestia utworzenia nowego przejścia dla pieszych w pobliżu przystanku,Pozostałe (inne)
Zagrożenie ze strony żmij na popularnych szlakach turystycznych,Zagrożenia biologiczne
Znalezienie martwego dzika w lesie (ryzyko ASF),Zagrożenia biologiczne
Słupy i znaki postawione na środku chodnika,Zagrożenia dla pieszych i uczestników ruchu
Kierowcy ciężarówek ignorujący zakazy tonażowe,Zachowania uczestników ruchu (kierowcy i piesi)
Brak koszy na śmieci w parku,Zaśmiecanie i nielegalne wysypiska
Ograniczona widoczność na skrzyżowaniu przez zaparkowane pojazdy,Zagrożenia dla pieszych i uczestników ruchu
Niewłaściwe przewożenie dziecka w samochodzie (bez fotelika),Zachowania uczestników ruchu (kierowcy i piesi)
Brak chodnika na odcinku 100 metrów wzdłuż ruchliwej ulicy,Infrastruktura drogowa i chodniki
Celowe blokowanie przejazdu karetce na sygnale,Zachowania uczestników ruchu (kierowcy i piesi)
Prośba o utworzenie wybiegu dla psów,Pozostałe (inne)
Sugestia zmiany organizacji ruchu na jednokierunkową,Pozostałe (inne)
Potrzeba naprawy dachu przeciekającego do mieszkania,Pozostałe (inne)
Wypalanie traw na łąkach za miastem,Niebezpieczne sytuacje
Celowe uszkodzenie szlabanu na wjeździe na osiedle,Wandalizm
Piesi skracający sobie drogę przez autostradę,Zagrożenia dla pieszych i uczestników ruchu
Otwarte studzienki kanalizacyjne bez zabezpieczenia,Niebezpieczne sytuacje
Porysowane szyby w pociągu lub autobusie,Wandalizm
Niebezpieczne dla rowerzystów kratki ściekowe z podłużnymi szczelinami,Zagrożenia dla pieszych i uczestników ruchu
Osoba nietrzeźwa leżąca na torach tramwajowych,Niebezpieczne sytuacje
Prośba o zmianę nazwy ulicy,Pozostałe (inne)
Prośba o zamontowanie progu zwalniającego na osiedlowej uliczce,Pozostałe (inne)
Jazda z nadmierną prędkością w terenie zabudowanym,Zachowania uczestników ruchu (kierowcy i piesi)
Gwałtowne hamowanie autobusów z powodu złego stanu zatoki,Niebezpieczne sytuacje
Brak słupków uniemożliwiających parkowanie na chodniku,Infrastruktura drogowa i chodniki
Bezpańskie psy gromadzące się w okolicy,Pozostałe (inne)
Brak stojaków na rowery pod dworcem,Pozostałe (inne)
Zderzenie tramwaju z autobusem na skrzyżowaniu,Wypadki drogowe
Skażenie ujęcia wody pitnej,Zagrożenia biologiczne
Słaba widoczność znaków drogowych z powodu brudu,Infrastruktura drogowa i chodniki
Zajmowanie dwóch miejsc parkingowych przez jeden samochód,Zachowania uczestników ruchu (kierowcy i piesi)
Brakujący odcinek ścieżki rowerowej między dwoma osiedlami,Infrastruktura drogowa i chodniki
Zdeptanie i zniszczenie klombu kwiatowego,Wandalizm
Zdemontowane ławki na przystanku bez informacji,Infrastruktura drogowa i chodniki
Wypadek z udziałem quada na leśnej drodze,Wypadki drogowe
Wyrwane elementy małej architektury jak kosze czy ławki,Wandalizm
Rozrzucone śmieci przez zwierzęta z niezabezpieczonych pojemników,Zaśmiecanie i nielegalne wysypiska
Agresywna jazda i celowe zajeżdżanie drogi,Zachowania uczestników ruchu (kierowcy i piesi)
Omijanie pojazdu który zatrzymał się w celu ustąpienia pierwszeństwa pieszemu,Zachowania uczestników ruchu (kierowcy i piesi)
Pozostawianie śmieci przy szlakach turystycznych w górach,Zaśmiecanie i nielegalne wysypiska
Potrącenie dziecka które wybiegło na jezdnię,Wypadki drogowe
Wyrzucanie starych ubrań i tekstyliów do lasu,Zaśmiecanie i nielegalne wysypiska
Brakujące lub uszkodzone znaki drogowe,Infrastruktura drogowa i chodniki
Brak chodnika po jednej stronie ulicy,Zagrożenia dla pieszych i uczestników ruchu
Uszkodzona lub niedziałająca syrena alarmowa,Pozostałe (inne)
Wąski chodnik uniemożliwiający minięcie się z wózkiem dziecięcym,Infrastruktura drogowa i chodniki
Brakujące płyty chodnikowe tworzące dziury,Infrastruktura drogowa i chodniki
Regularne zaśmiecanie klatki schodowej przez sąsiada,Zaśmiecanie i nielegalne wysypiska
Prośba o ustawienie ławki przy nowym chodniku,Pozostałe (inne)
Chodnik jest tak zniszczony że ludzie chodzą ulicą,Infrastruktura drogowa i chodniki
Niewidoczny próg zwalniający bez odpowiedniego oznakowania,Zagrożenia dla pieszych i uczestników ruchu
Samochód który wjechał w ogrodzenie posesji,Wypadki drogowe
Niebezpieczny zjazd z ronda dla rowerzystów,Zagrożenia dla pieszych i uczestników ruchu
Śmieci wzdłuż torów kolejowych,Zaśmiecanie i nielegalne wysypiska
Zdziczałe gołębie przenoszące choroby,Zagrożenia biologiczne
Zbyt wysokie krawężniki utrudniające przejazd wózkom,Zagrożenia dla pieszych i uczestników ruchu
Nieprzyjemny zapach z kanalizacji na osiedlu,Pozostałe (inne)
Skażenie rzeki przez nielegalny zrzut z ubojni,Zagrożenia biologiczne
Wpychanie się w kolejkę aut i blokowanie pasa,Zachowania uczestników ruchu (kierowcy i piesi)
Dzikie przejście przez tory kolejowe z którego korzystają dzieci idące do szkoły,Niebezpieczne sytuacje
Połamane barierki ochronne przy ścieżce rowerowej,Wandalizm
Osoba porażona prądem z uszkodzonego przewodu,Niebezpieczne sytuacje
Zderzenie czołowe dwóch samochodów osobowych,Wypadki drogowe
Brak utwardzonego pobocza na drodze o dużym ruchu,Infrastruktura drogowa i chodniki
Kierowca stracił panowanie nad pojazdem i uderzył w barierki,Wypadki drogowe
Zepsuty zegar na wieży ratuszowej,Pozostałe (inne)
Zniszczenie interkomu w bramie wejściowej,Wandalizm
Nieoznakowane prace na wysokości bez zabezpieczenia terenu,Niebezpieczne sytuacje
Przejście dla pieszych jest słabo widoczne w nocy,Zagrożenia dla pieszych i uczestników ruchu
Padłe ptaki na terenie fermy drobiu,Zagrożenia biologiczne
Wniosek o budowę placu zabaw dla dzieci,Pozostałe (inne)
Użytkownicy hulajnóg poruszający się w parach na jednym urządzeniu,Zagrożenia dla pieszych i uczestników ruchu
Strome śliskie zejście do rzeki bez poręczy,Niebezpieczne sytuacje
Zniszczona nawierzchnia ścieżki rowerowej,Zagrożenia dla pieszych i uczestników ruchu
Samochód który uderzył w barierki energochłonne,Wypadki drogowe
Problem z niskim ciśnieniem wody na wyższych piętrach,Pozostałe (inne)
Wypadek z udziałem motocyklisty,Wypadki drogowe
Plaga kleszczy w lasach i parkach,Zagrożenia biologiczne
Rozrzucone ulotki i darmowe gazetki przed klatką schodową,Zaśmiecanie i nielegalne wysypiska
Niedziałający szlaban na parkingu osiedlowym,Pozostałe (inne)
Nieuprzątnięte wymiociny na przystanku autobusowym,Zagrożenia biologiczne
Brak bezpiecznego połączenia ścieżek rowerowych,Zagrożenia dla pieszych i uczestników ruchu
Dziura w moście dla pieszych nad torami kolejowymi,Infrastruktura drogowa i chodniki
Potrącenie rowerzysty na ścieżce rowerowej,Wypadki drogowe
Głęboka dziura w jezdni na ulicy Mogilskiej,Infrastruktura drogowa i chodniki
Sypiący się żwir z przeładowanej ciężarówki,Zagrożenia dla pieszych i uczestników ruchu
Wąskie gardło na drodze dojazdowej do nowego osiedla,Infrastruktura drogowa i chodniki
Rowerzyści jadący z dużą prędkością po chodniku,Zagrożenia dla pieszych i uczestników ruchu
Wypadek spowodowany wymuszeniem pierwszeństwa,Wypadki drogowe
Podpalenie kontenera na śmieci,Wandalizm
Wysypisko zużytych strzykawek w opuszczonym budynku,Zaśmiecanie i nielegalne wysypiska
Podejrzenie wścieklizny u lisa widzianego na osiedlu,Zagrożenia biologiczne
Regularne wyrzucanie worków ze śmieciami z samochodu na parkingu,Zaśmiecanie i nielegalne wysypiska
Agresywne osoby żebrzące i napastujące przechodniów,Niebezpieczne sytuacje
Martwy gołąb na parapecie okna,Zagrożenia biologiczne
Prośba o wyznaczenie dodatkowych miejsc parkingowych,Pozostałe (inne)
Plaga karaluchów w bloku mieszkalnym,Zagrożenia biologiczne
Niewłaściwie zorganizowany ruch podczas remontu drogi,Zagrożenia dla pieszych i uczestników ruchu
Nieprzyjemny zapach z zakładu przemysłowego,Zagrożenia biologiczne
Azbest na dachu budynku grożący pyleniem,Zagrożenia biologiczne
Używanie dronów w strefie zakazu lotów w pobliżu lotniska,Niebezpieczne sytuacje
Niedziałający przycisk dla pieszych na światłach,Infrastruktura drogowa i chodniki
Niewłaściwe przechowywanie odpadów poubojowych,Zagrożenia biologiczne
Wypadek z udziałem ciągnika rolniczego,Wypadki drogowe
Przecięcie opon w rowerach przypiętych do stojaka,Wandalizm
Niezapinanie pasów bezpieczeństwa przez pasażerów,Zachowania uczestników ruchu (kierowcy i piesi)
Zimne kaloryfery mimo sezonu grzewczego,Pozostałe (inne)
Dzieci bawiące się na zamarzniętym stawie bez nadzoru,Niebezpieczne sytuacje
Rowerzysta jadący bez wymaganego oświetlenia po zmroku,Zachowania uczestników ruchu (kierowcy i piesi)
Ignorowanie znaku zakaz zawracania,Zachowania uczestników ruchu (kierowcy i piesi)
Brakujący fragment krawężnika przy zatoce autobusowej,Infrastruktura drogowa i chodniki
Samochód dostawczy wjechał do rowu na obwodnicy,Wypadki drogowe
Samochód który dachował po wpadnięciu w poślizg,Wypadki drogowe
Parkowanie na kopercie dla rodzin z dziećmi bez uprawnień,Zachowania uczestników ruchu (kierowcy i piesi)
Pojawienie się barszczu Sosnowskiego przy placu zabaw,Zagrożenia biologiczne
Popękany i nierówny asfalt na drodze osiedlowej,Infrastruktura drogowa i chodniki
Porysowana karoseria zaparkowanego samochodu,Wandalizm
Podpalony kontener na śmieci na osiedlu Ruczaj,Wandalizm
Mieszkańcy wyrzucają śmieci z balkonów,Zaśmiecanie i nielegalne wysypiska
Spadające sople lodu z dachu kamienicy przy ulicy Szewskiej,Niebezpieczne sytuacje
"Kierowcy blokujący ""korytarz życia""",Zagrożenia dla pieszych i uczestników ruchu
Ktoś przeciął opony w rowerze przypiętym do stojaka,Wandalizm
Uszkodzony automat biletowy MPK,Wandalizm
Niewystarczająca liczba koszy na śmieci wzdłuż chodnika,Infrastruktura drogowa i chodniki
Wypadek na parkingu wielopoziomowym,Wypadki drogowe
Wyjazd z parkingu podziemnego bezpośrednio na ścieżkę rowerową,Zagrożenia dla pieszych i uczestników ruchu
Pomazany sprayem mural,Wandalizm
Przepełnione kosze na śmieci na przystankach autobusowych,Zaśmiecanie i nielegalne wysypiska
Pomalowana farbą figura w kościelnej kapliczce,Wandalizm
Kierowca autobusu gwałtownie hamuje bez powodu,Zachowania uczestników ruchu (kierowcy i piesi)
Zalewanie piwnicy po każdych większych opadach,Pozostałe (inne)
Drzewo z wyraźnie nadłamanym konarem nad ruchliwym chodnikiem,Niebezpieczne sytuacje
Wypadek spowodowany złymi warunkami atmosferycznymi,Wypadki drogowe
Niewidoczna linia ciągła na jezdni,Infrastruktura drogowa i chodniki
Źle wyprofilowany zakręt drogi,Infrastruktura drogowa i chodniki
Wyjazd z parkingu tyłem bez asekuracji,Zagrożenia dla pieszych i uczestników ruchu
Ostre krawędzie uszkodzonych płyt chodnikowych,Infrastruktura drogowa i chodniki
Padłe ryby w jeziorze,Zagrożenia biologiczne
Wymuszanie pierwszeństwa przejazdu,Zachowania uczestników ruchu (kierowcy i piesi)
Malowanie graffiti na elewacjach budynków,Wandalizm
Zniszczone ławki i kosze na śmieci w parku,Wandalizm
Zaniedbany skwer miejski wymaga rewitalizacji,Pozostałe (inne)
Obecność toksycznej pleśni w budynku szkoły,Zagrożenia biologiczne
Nieprawidłowe parkowanie uniemożliwiające przejazd innym pojazdom,Zachowania uczestników ruchu (kierowcy i piesi)
Wylęgarnia komarów w zastoisku wodnym,Zagrożenia biologiczne
Jazda na zderzaku (brak bezpiecznego odstępu),Zachowania uczestników ruchu (kierowcy i piesi)
Wyrwa w asfalcie na ścieżce rowerowej przy moście Dębnickim,Infrastruktura drogowa i chodniki
Zniszczone znaki informacyjne dla niewidomych,Wandalizm
Gołoledź na chodnikach i schodach w zimie,Zagrożenia dla pieszych i uczestników ruchu
Butelki i puszki pozostawione wokół ławki w parku,Zaśmiecanie i nielegalne wysypiska
Przeciążona instalacja elektryczna w starym budynku,Niebezpieczne sytuacje
Ostre krawędzie uszkodzonych elementów betonowych,Infrastruktura drogowa i chodniki
Parkowanie na ścieżce rowerowej,Zachowania uczestników ruchu (kierowcy i piesi)
Zniszczone ogrodzenie placu zabaw na osiedlu Złocień,Wandalizm
Prośba o instalację stacji naprawy rowerów w centrum miasta,Pozostałe (inne)
Prośba o częstsze opróżnianie pojemników na odzież,Pozostałe (inne)
Wyprzedzanie na trzeciego na drodze krajowej,Zachowania uczestników ruchu (kierowcy i piesi)
Nielegalne wysypisko gruzu na działce rolnej,Zaśmiecanie i nielegalne wysypiska
Zjeżdżanie na sankach wprost pod koła nadjeżdżających pojazdów,Niebezpieczne sytuacje
Zniszczenie ogrodzenia boiska szkolnego,Wandalizm
Piesi wpatrzeni w smartfony wchodzący na jezdnię,Zagrożenia dla pieszych i uczestników ruchu
Dzieci rzucające kamieniami z wiaduktu na przejeżdżające samochody,Niebezpieczne sytuacje
Parkowanie na całej szerokości chodnika,Zachowania uczestników ruchu (kierowcy i piesi)
Zarośnięty i zaniedbany pas zieleni między jezdnią a chodnikiem,Infrastruktura drogowa i chodniki
Gromadzenie odpadów wielkogabarytowych na korytarzu w bloku,Zaśmiecanie i nielegalne wysypiska
Śmieci zalegające w koszach na plaży przy zalewie Bagry,Zaśmiecanie i nielegalne wysypiska
Blokowanie windy przez dłuższy czas,Zachowania uczestników ruchu (kierowcy i piesi)
Odpady szpitalne wyrzucone do lasu,Zagrożenia biologiczne
Oznakowanie poziome na rondzie jest już całkowicie niewidoczne,Infrastruktura drogowa i chodniki
Niewłaściwe przechowywanie żywności w restauracji,Zagrożenia biologiczne
Kradzież miedzianych liter z tablicy pamiątkowej,Wandalizm
Niezabezpieczone chemikalia pozostawione w miejscu publicznym,Niebezpieczne sytuacje
Wypadek spowodowany przez zaśnięcie kierowcy,Wypadki drogowe
Samochód wjechał w przystanek autobusowy,Wypadki drogowe
Niezabezpieczone odpady medyczne w publicznym koszu,Zagrożenia biologiczne
Taranowanie bramek na płatnym parkingu,Zachowania uczestników ruchu (kierowcy i piesi)
Zwisający tynk z elewacji kamienicy,Niebezpieczne sytuacje
Używanie telefonu podczas przechodzenia przez pasy,Zachowania uczestników ruchu (kierowcy i piesi)
Pieszy wchodzący na jezdnię bezpośrednio przed nadjeżdżający pojazd,Zachowania uczestników ruchu (kierowcy i piesi)
Wykrycie wąglika w glebie,Zagrożenia biologiczne
Zaparkowany na zakręcie samochód ograniczający widoczność,Zagrożenia dla pieszych i uczestników ruchu
Obecność karaluchów w kuchni szkolnej,Zagrożenia biologiczne
Brak chodnika na odcinku drogi prowadzącej do szkoły,Infrastruktura drogowa i chodniki
Wyrwane strony z książek w budce bookcrossingowej,Wandalizm
Potrącenie dziecka które wybiegło na ulicę za piłką,Wypadki drogowe
Porysowany lakier na kilku zaparkowanych samochodach przy ulicy Dietla,Wandalizm
Wybite okno w opuszczonym budynku gdzie bawią się dzieci,Wandalizm
Zniszczone donice z kwiatami przed urzędem,Wandalizm
Wyrwane kwiaty z klombów miejskich,Wandalizm
Autobus MPK miał stłuczkę z samochodem osobowym,Wypadki drogowe
Jazda motocyklem na jednym kole w ruchu miejskim,Zachowania uczestników ruchu (kierowcy i piesi)
Uszkodzona latarnia uliczna na ulicy Karmelickiej która miga i gaśnie,Wandalizm
Samochód ciężarowy który przewrócił się na zakręcie,Wypadki drogowe
Zniszczona tabliczka z nazwą ulicy,Wandalizm
Rozprzestrzenianie się inwazyjnego gatunku rośliny rdestowca japońskiego,Zagrożenia biologiczne
Grupa rowerzystów jadąca całą szerokością jezdni,Zagrożenia dla pieszych i uczestników ruchu
Kolizja spowodowana wymuszeniem pierwszeństwa,Wypadki drogowe
Niewłaściwie oznakowana strefa zamieszkania,Infrastruktura drogowa i chodniki
Porzucone odpady budowlane w przydrożnym lesie,Zaśmiecanie i nielegalne wysypiska
Tworzenie dzikiego wysypiska na nieużytkach rolnych,Zaśmiecanie i nielegalne wysypiska
Zalegająca woda na chodniku po każdym deszczu z powodu złego odpływu,Infrastruktura drogowa i chodniki
Uszkodzona balustrada na moście nad rzeką,Niebezpieczne sytuacje
Lustro drogowe jest brudne i bezużyteczne,Infrastruktura drogowa i chodniki
Palenie plastików i opon w ognisku,Zaśmiecanie i nielegalne wysypiska
Parkowanie na miejscu dla niepełnosprawnych bez uprawnień,Zachowania uczestników ruchu (kierowcy i piesi)
Wrzucanie dużych kartonów do małych koszy ulicznych,Zaśmiecanie i nielegalne wysypiska
